Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5529f8ebc4bfbf3ec1a34136cfa7a50222d90ec0350b3726fd15502d42d7d61e,2019-03,Metropolitan Police Service,Metropolitan Police Service,0.000019,51.433221,On or near SCARLET ROAD,E01003347,Lewisham 030A,Investigation complete; no suspect identified
14bf784b084ac841920229c7c8f8920e5c2d9a67cea8f662f8028d039be22b51,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.039484,51.489419,On or near RAINSBOROUGH AVENUE,E01003250,Lewisham 001E,Investigation complete; no suspect identified
6f1f6ad2445b28085fe003baf6ff7914e4199df440a30e2b29bb611f1139757f,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.010635,51.468816,On or near BLACKHEATH RISE,E01003201,Lewisham 007B,Investigation complete; no suspect identified
f7ae3abb4fcb8e84a206b9ac3b9798e99038f071483552fef6465e98260533f3,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.002390,51.453856,On or near ORCHID CLOSE,E01003284,Lewisham 013C,Investigation complete; no suspect identified
8a54660ca063ed4f101747aa2e7c51024f60389bf0302ea47abe291c7be6f9d6,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.032949,51.439094,On or near PERRY HILL,E01003194,Lewisham 029B,Investigation complete; no suspect identified
b0a177d5a50fa986ea266382e015df49def817ed7ac52250ff944f124899aa45,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.072222,51.429027,On or near TALISMAN SQUARE,E01003330,Lewisham 033B,Investigation complete; no suspect identified
4a28589fdbb89e741717fb472342a774de327f5ca909207fd3d24b7c31363b9d,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.058557,51.433082,On or near Police Station,E01003259,Lewisham 028D,Investigation complete; no suspect identified
ae0350bd45d10a7a803defeb36b4fb3f2e18e45f4b2f927c56c9ee07f46cc521,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.028321,51.440959,On or near VINEYARD CLOSE,E01003194,Lewisham 029B,Local resolution
7df90c58546fff3661afd69bf9695b044b452ac6c4b8846a10e8fe65730e862c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.063389,51.431426,On or near DALLAS ROAD,E01003258,Lewisham 028C,Investigation complete; no suspect identified
f7ffb46d265bae3dc0018db7450b1222c55835a1787bcc107409a5ef2008075a,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.047829,51.480871,On or near JOHN WILLIAMS CLOSE,E01003297,Lewisham 003A,Investigation complete; no suspect identified
d8a1f7bce6901f8a4c42e6da8ff6768e3761c1d46d723fb165168de916501322,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.031272,51.449650,On or near BRIGHTLING ROAD,E01003225,Lewisham 015A,Investigation complete; no suspect identified
f8058bc5c7636e931323fd026fa1ccd2854a8f073ea13c60ad21067769c8d396,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.047478,51.478626,On or near MONSON ROAD,E01003305,Lewisham 003E,Investigation complete; no suspect identified
0f00f1e36fc114228c6a928326b051532d117b38c9049685f10edf1d25f4ecde,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.026806,51.482443,On or near NEW KING STREET,E01003253,Lewisham 002E,Investigation complete; no suspect identified
43821a4a735f39d0a90e98298c35d1918f6562f9ab19f2b7ba7b9ae589ca0e38,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.025187,51.444242,On or near Pedestrian Subway,E01003318,Lewisham 020B,Investigation complete; no suspect identified
73d0bad2c7975d94f3e410119a383414080eade234afa471149316350cf96a03,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.011177,51.458663,On or near Parking Area,E01033341,Lewisham 012G,Investigation complete; no suspect identified
78159d52ac535d38fcf2bb2cf1ef74b7afde999fc65b99ac02a2e4c8e6cac445,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.016086,51.461975,On or near SILVER ROAD,E01003296,Lewisham 012E,Investigation complete; no suspect identified
08e756e0f5a3a9e09be44e81f9746102a5803220869f4a7ca7cf8fe316991f55,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.009671,51.461848,On or near LEWIS GROVE,E01033327,Lewisham 012F,Investigation complete; no suspect identified
1528a2e5f81aab929e7681e2a1569b3050704f3046f19ffcea7b7be14a66095c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.046182,51.431779,On or near MAYOW ROAD,E01003313,Lewisham 027E,Investigation complete; no suspect identified
1528a2e5f81aab929e7681e2a1569b3050704f3046f19ffcea7b7be14a66095c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.046182,51.431779,On or near MAYOW ROAD,E01003313,Lewisham 027E,Investigation complete; no suspect identified
6a50862123b12278a13050625c4a7724ea3c3b4b88da12e85ab4eb8ac83d79b0,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.019456,51.436672,On or near Shopping Area,E01003221,Lewisham 025C,Investigation complete; no suspect identified
6a50862123b12278a13050625c4a7724ea3c3b4b88da12e85ab4eb8ac83d79b0,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.019456,51.436672,On or near Shopping Area,E01003221,Lewisham 025C,Investigation complete; no suspect identified
da643699cf1d748214dcb18b48c67ad6f01af6928c0287d995334755966d0687,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.025142,51.480635,On or near ALBURY STREET,E01003253,Lewisham 002E,Investigation complete; no suspect identified
023e8dd8234b46fe63d2a38f200a4f8392ec2c1c7d2708592588f2874660cef6,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.056193,51.426056,On or near RAYMOND CLOSE,E01003328,Lewisham 035C,Investigation complete; no suspect identified
5087dc8a8ebc55103ec854ebdd9c8a6edb054896d30b4588eee4f1b5da333aa4,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.017023,51.453646,On or near Hospital,E01003291,Lewisham 012D,Investigation complete; no suspect identified
485d34fbf767c715e3403de277aecae263e94ccc3cfca6accecbb787f2c944d4,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.038551,51.453423,On or near Theatre/Concert Hall,E01003232,Lewisham 015C,Investigation complete; no suspect identified
